"Name","dropout","l_rate","n_cnn_layers","optimizer","test/accuracy","test/exact_match_accuracy","test/loss"
"honest-sweep-8","0.1","0.0001","3","Adam","85.8108695652174","8.130434782608695","0.4362993389368057"
"astral-sweep-12","0.1","0.0001","5","AdamW","85.45217391304348","9.804347826086955","0.4369106876353423"
"fast-sweep-9","0.1","0.0001","3","AdamW","84.81739130434782","6.891304347826087","0.4404409242173036"
"giddy-sweep-5","0.1","0.001","5","Adam","84.72173913043478","10.804347826086955","0.38648334828515846"
"fiery-sweep-11","0.1","0.0001","5","Adam","84.33478260869566","7.608695652173914","0.5138025869511895"
"dark-sweep-20","0.2","0.0001","3","Adam","83.5695652173913","3.5000000000000004","0.4897071537044313"
"copper-sweep-24","0.2","0.0001","5","AdamW","83.1304347826087","3.956521739130435","0.5688336388104491"
"olive-sweep-3","0.1","0.001","3","AdamW","82.98260869565217","5.304347826086957","0.4776131672163804"
"fanciful-sweep-21","0.2","0.0001","3","AdamW","82.93260869565218","3.152173913043478","0.5545133453690343"
"robust-sweep-16","0.2","0.001","5","SGD","82.53260869565217","2.1739130434782608","0.4678862266656425"
"fancy-sweep-13","0.2","0.001","3","SGD","82.53260869565217","2.1739130434782608","0.4813240971416235"
"valiant-sweep-19","0.2","0.0001","3","SGD","82.53260869565217","2.1739130434782608","0.5377186942431662"
"proud-sweep-1","0.1","0.001","3","SGD","82.53260869565217","2.1739130434782608","0.4743123540861739"
"lunar-sweep-7","0.1","0.0001","3","SGD","82.53260869565217","2.1739130434782608","0.5109949807325999"
"solar-sweep-4","0.1","0.001","5","SGD","82.53260869565217","2.1739130434782608","0.4702047502828969"
"amber-sweep-23","0.2","0.0001","5","Adam","81.67173913043479","4.369565217391305","0.5706858500424359"
"sleek-sweep-15","0.2","0.001","3","AdamW","81.54130434782608","4.391304347826087","0.5469084706985288"
"glad-sweep-17","0.2","0.001","5","Adam","79.37608695652175","9.891304347826086","0.4579509778155221"
"noble-sweep-18","0.2","0.001","5","AdamW","78.19782608695652","3.5434782608695654","0.472851799800992"
"earnest-sweep-10","0.1","0.0001","5","SGD","78.02608695652174","0.30434782608695654","0.6431666256652938"
"genial-sweep-14","0.2","0.001","3","Adam","74.26521739130435","1.2173913043478262","0.7978997536831431"
"rosy-sweep-6","0.1","0.001","5","AdamW","74.06304347826087","4.065217391304348","0.5640742513868544"
"faithful-sweep-2","0.1","0.001","3","Adam","71.05434782608697","2","0.7351661663916376"
"scarlet-sweep-22","0.2","0.0001","5","SGD","66.56304347826088","0.391304347826087","0.6722766421735287"